Position,Name,Type,Signal,Label
48,PB2,Output,GPIO_Output,LED_B1_EN
136,PB6,Output,GPIO_Output,LED_B2_EN
69,PB10,Output,GPIO_Output,LED_B3_EN
76,PB15,Output,GPIO_Output,LED_B4_EN
47,PB1,Output,GPIO_Output,LED_G1_EN
135,PB5,Output,GPIO_Output,LED_G2_EN
140,PB9,Output,GPIO_Output,LED_G3_EN
73,PB12,Output,GPIO_Output,LED_G4_EN
46,PB0,Output,GPIO_Output,LED_R1_EN
134,PB4,Output,GPIO_Output,LED_R2_EN
139,PB8,Output,GPIO_Output,LED_R3_EN
70,PB11,Output,GPIO_Output,LED_R4_EN
142,PE1,Output,GPIO_Output,LTC2984_RST
22,PF10,Output,GPIO_Output,MICRO_CLUTCH_B_EN
21,PF9,Output,GPIO_Output,MICRO_CLUTCH_G_EN
18,PF6,Output,GPIO_Output,MICRO_CLUTCH_R_EN
141,PE0,Output,GPIO_Output,RELAY_AVAPOR
